Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Opposite
,Cugir
,Goal,0,0,7,50,2,49
Opposite
,Cugir
,Goal,0,0,17,40,3,40
Unirea Alba Iulia
,Golda,Goal,0,0,85,58,99,37
Unirea Alba Iulia
,Golda,Goal,0,0,95,46,98,48
Unirea Alba Iulia
,Giosu
,Goal,0,0,93,40,99,61
Unirea Alba Iulia
,Fetița
,Goal,0,0,86,53,98,54
Unirea Alba Iulia
,Pîntea
,Goal,0,0,91,34,99,59
Unirea Alba Iulia
,Fetița
,Goal,0,0,91,49,98,51
Unirea Alba Iulia
,Jorza
,Goal,0,0,89,37,98,58
Unirea Alba Iulia
,Giurgiu
,Goal,0,0,89,49,98,59
Unirea Alba Iulia
,Fetița
,Goal,0,0,89,50,98,40
Unirea Alba Iulia
,Fetița
,Goal,0,0,93,38,99,42
Opposite
,DMO
,Goal,0,0,4,57,1,51
Unirea Alba Iulia
,Golda,Goal,0,0,95,51,98,56
Unirea Alba Iulia
,Giurgiu
,Goal,0,0,89,49,98,39
Unirea Alba Iulia
,Giosu
,Goal,0,0,92,40,98,59
Unirea Alba Iulia
,Golda,Goal,0,0,87,33,98,44
Unirea Alba Iulia
,Pîntea
,Goal,0,0,93,69,98,41
Unirea Alba Iulia
,Golda,Goal,0,0,96,55,-,-
Opposite
,Sugag
,Goal,0,0,64,21,2,50
Unirea Alba Iulia
,Blănaru
,Goal,0,0,91,42,98,57
Unirea Alba Iulia
,Vomir
,Goal,0,0,96,39,98,51
Unirea Alba Iulia
,Ardeiu
,Goal,0,0,87,53,98,56
Opposite
,Timișul Șag

,Goal,0,2,21,67,2,44
Unirea Alba Iulia
,Banyoi
,Goal,0,2,96,48,-,-
Unirea Alba Iulia
,Tănase
,Goal,0,2,91,59,98,39
Unirea Alba Iulia
,Golda,Goal,0,0,90,44,98,56
Unirea Alba Iulia
,Banyoi
,Goal,0,0,89,52,98,56
Unirea Alba Iulia
,Banyoi
,Goal,0,0,90,61,98,40
Unirea Alba Iulia
,Golda,Goal,0,0,91,50,98,49
Unirea Alba Iulia
,Golda,Goal,0,0,93,50,98,51
Unirea Alba Iulia
,Pîntea
,Goal,0,0,92,65,98,40
Unirea Alba Iulia
,Blănaru
,Goal,0,0,92,53,98,46
Unirea Alba Iulia
,Golda,Goal,0,0,91,56,98,43
Unirea Alba Iulia
,Pîntea
,Goal,0,0,96,56,-,-
Unirea Alba Iulia
,Golda,Goal,0,0,93,48,98,56
Unirea Alba Iulia
,Ardei
,Goal,0,0,93,42,98,58
Unirea Alba Iulia
,Ondreykovicz
,Goal,0,0,88,39,98,59
Unirea Alba Iulia
,Blănaru
,Goal,0,0,96,55,-,-
Unirea Alba Iulia
,Pîntea
,Goal,0,0,86,63,98,57
Opposite
,Poli Timisoara
,Goal,0,0,7,37,2,40
Opposite
,Poli Timisoara
,Goal,0,0,7,59,2,53
Unirea Alba Iulia
,Gavrilă
,Goal,0,0,81,48,98,58
Opposite
,Ghiroda
,Goal,0,0,13,40,1,59
Unirea Alba Iulia
,Golda,Goal,0,0,93,41,98,55
Unirea Alba Iulia
,Giosu
,Goal,0,0,96,57,98,44
Unirea Alba Iulia
,Blănaru
,Goal,0,0,91,39,98,43
Unirea Alba Iulia
,Banyoi
,Goal,0,0,92,42,98,57
Unirea Alba Iulia
,Fetița
,Goal,0,0,93,53,98,56
Opposite
,Pecica
,Goal,0,0,7,58,2,54
Unirea Alba Iulia
,Giurgiu
,Goal,0,0,89,49,98,50
Unirea Alba Iulia
,Blănaru
,Goal,0,0,93,49,98,50
Unirea Alba Iulia
,Blănaru
,Goal,0,0,91,36,98,57
Unirea Alba Iulia
,Golda,Goal,0,0,96,48,-,-
Unirea Alba Iulia
,Szijj
,Goal,0,0,92,59,98,52
Unirea Alba Iulia
,Blănaru
,Goal,0,0,91,36,98,58
Unirea Alba Iulia
,Blănaru
,Goal,0,0,90,44,98,51
Opposite
,Viitorul Arad
,Goal,0,0,9,38,2,58
Unirea Alba Iulia
,Golda,Goal,0,0,95,48,98,49
Unirea Alba Iulia
,Blănaru
,Goal,0,0,92,42,98,47
Unirea Alba Iulia
,Fetița
,Goal,0,0,93,55,98,57
Unirea Alba Iulia
,Golda,Goal,0,0,96,40,-,-
Unirea Alba Iulia
,Szijj
,Goal,0,0,83,64,98,56
Unirea Alba Iulia
,Fetița
,Goal,0,0,89,50,98,40
Unirea Alba Iulia
,Ardei
,Goal,0,0,96,41,-,-
Unirea Alba Iulia
,Giosu
,Goal,0,0,95,40,98,41
Unirea Alba Iulia
,Giurgiu
,Goal,0,0,97,89,98,42
Unirea Alba Iulia
,Golda,Goal,0,0,95,49,98,50
Unirea Alba Iulia
,Golda,Goal,0,0,89,63,98,43
Unirea Alba Iulia
,Banyoi
,Goal,0,0,95,56,98,56
Opposite
,Timișul Șag

,Goal,0,0,20,69,2,50
Unirea Alba Iulia
,Giurgiu
,Goal,0,0,78,62,98,40
Unirea Alba Iulia
,Fetița
,Goal,0,0,92,51,98,55
Unirea Alba Iulia
,Banyoi
,Goal,0,0,96,50,-,-
Unirea Alba Iulia
,Blănaru
,Goal,0,0,95,68,97,41
